12168 //  10-Yard Fight //  $6.42 //  $30.49 //  $435.52 // 
12271 //  Indiana Jones and the Temple of Doom //  $7.65 //  $23.95 //  $171.93 // 
39513 //  Indiana Jones and the Temple of Doom [Tengen] //  $9.99 //  $33.42 //  $233.50 // 
12272 //  Infiltrator //  $4.64 //  $15.00 //  $45.68 // 
12274 //  Iron Sword Wizards and Warriors II //  $5.93 //  $17.30 //  $80.08 // 
12273 //  Iron Tank //  $6.97 //  $19.72 //  $60.90 // 
12275 //  Isolated Warrior //  $24.97 //  $55.47 //  $112.55 // 
9155 //  Jack Nicklaus Golf //  $3.61 //  $9.95 //  $38.76 // 
12276 //  Jackal //  $10.99 //  $36.92 //  $246.55 // 
12277 //  "Jackie Chans Action Kung Fu" //  $50.53 //  $127.25 //  $352.49 // 
9161 //  James Bond Jr //  $29.76 //  $48.10 //  $88.76 // 
12278 //  Jaws //  $7.99 //  $37.50 //  $299.99 // 
39519 //  Jaws [5 Screw] //   //   //   // 
9169 //  Jeopardy //  $3.65 //  $12.74 //  $28.95 // 
9170 //  Jeopardy 25th Anniversary //  $3.30 //  $8.11 //  $25.07 // 
9172 //  Jeopardy Jr //  $4.75 //  $12.99 //  $41.57 // 
9176 //  "Jetsons Cogswells Caper" //  $137.54 //  $364.95 //  $999.99 // 
9177 //  Jimmy Connors Tennis //  $60.66 //  $159.95 //  $259.15 // 
9179 //  Joe and Mac //  $16.52 //  $49.22 //  $239.99 // 
12279 //  "John Elways Quarterback" //  $3.93 //  $11.75 //  $22.38 // 
12280 //  Jordan vs Bird One on One //  $5.00 //  $18.92 //  $49.99 // 
12281 //  Joshua: The Battle of Jericho //  $20.47 //  $33.83 //  $59.99 // 
12282 //  Journey to Silius //  $29.00 //  $64.48 //  $212.54 // 
12283 //  Joust //  $9.78 //  $20.07 //  $111.57 // 
9190 //  Jurassic Park //  $11.78 //  $29.08 //  $136.87 // 
12284 //  Kabuki Quantum Fighter //  $17.88 //  $47.40 //  $94.98 // 
12285 //  Karate Champ //  $4.07 //  $19.61 //  $189.12 // 
39518 //  Karate Champ [5 Screw] //  $5.90 //  $20.00 //  $58.43 // 
12286 //  Karnov //  $8.80 //  $32.57 //  $519.99 // 
9204 //  Kick Master //  $82.74 //  $196.71 //  $459.18 // 
12287 //  Kickle Cubicle //  $15.95 //  $62.84 //  $144.21 // 
11996 //  Kid Icarus //  $18.01 //  $96.00 //  $358.04 // 
38010 //  Kid Icarus [5 Screw] //  $19.83 //  $165.95 //  $222.66 // 
9205 //  Kid Klown in Night Mayor World //  $297.51 //  $442.00 //  $1414.40 // 
12288 //  Kid Kool //  $11.60 //  $26.99 //  $110.57 // 
12289 //  Kid Niki Radical Ninja //  $8.94 //  $38.82 //  $120.76 // 
38041 //  Kid Niki Radical Ninja [5 Screw] //  $29.99 //  $32.49 //  $95.97 // 
16437 //  "King Neptunes Adventure" //  $126.01 //  $188.46 //  $225.00 // 
12290 //  King of Kings //  $11.16 //  $29.17 //  $50.53 // 
9212 //  "Kings Knight" //  $8.51 //  $25.00 //  $99.99 // 
12291 //  "Kings Quest V" //  $19.20 //  $48.33 //  $249.99 // 
12292 //  Kings of the Beach //  $2.90 //  $14.61 //  $39.00 // 
9213 //  "Kirbys Adventure" //  $16.81 //  $39.99 //  $127.50 // 
12293 //  Kiwi Kraze //  $19.25 //  $68.50 //  $228.76 // 
12294 //  Klash Ball //  $14.00 //  $34.93 //  $50.00 // 
12295 //  Klax //  $8.50 //  $16.45 //  $36.98 // 
12296 //  Knight Rider //  $7.97 //  $22.24 //  $82.04 // 
12297 //  Krazy Kreatures //  $16.99 //  $39.98 //  $78.58 // 
12298 //  Krion Conquest //  $73.20 //  $140.00 //  $376.27 // 
9217 //  "Krustys Fun House" //  $10.26 //  $30.50 //  $126.56 // 
12299 //  Kung Fu //  $6.97 //  $24.96 //  $443.19 // 
12300 //  Kung Fu Heroes //  $5.23 //  $18.44 //  $59.99 // 
37973 //  Kung Fu [5 Screw] //  $7.86 //  $39.33 //  $71.96 // 
9242 //  "LEmpereur" //  $74.11 //  $121.74 //  $380.02 // 
9222 //  Laser Invasion //  $15.00 //  $29.93 //  $103.12 // 
19472 //  Laserscope //  $33.93 //  $100.31 //  $100.99 // 
9224 //  Last Action Hero //  $47.18 //  $103.43 //  $162.58 // 
12301 //  Last Starfighter //  $13.99 //  $29.48 //  $101.36 // 
12302 //  "Lee Trevinos Fighting Golf" //  $4.03 //  $13.29 //  $34.91 // 
12303 //  Legacy of the Wizard //  $5.26 //  $16.00 //  $55.11 // 
11997 //  Legend of Kage //  $8.30 //  $24.99 //  $144.70 // 
38018 //  Legend of Kage [5 Screw] //  $10.46 //  $28.23 //  $89.63 // 
9236 //  Legend of Zelda //  $18.09 //  $55.20 //  $1320.55 // 
38020 //  Legend of Zelda [5 Screw] //  $31.11 //  $200.00 //  $302.24 // 
38512 //  Legend of Zelda [Gray Cart] //  $16.95 //  $61.61 //  $271.53 // 
12304 //  Legendary Wings //  $9.99 //  $33.50 //  $177.50 // 
12305 //  Legends of the Diamond //  $12.50 //  $28.28 //  $46.90 // 
9240 //  Lemmings //  $26.00 //  $64.99 //  $174.85 // 
9245 //  Lethal Weapon //  $30.45 //  $69.00 //  $129.26 // 
12306 //  Life Force //  $8.86 //  $30.00 //  $214.74 // 
12307 //  "Linus Spaceheads Cosmic Adventure" //  $59.00 //  $169.91 //  $309.99 // 
39522 //  "Linus Spaceheads Cosmic Adventure [Aladdin]" //  $2.23 //  $6.02 //  $27.49 // 
12308 //  Little League Baseball //  $8.49 //  $20.99 //  $67.27 // 
9248 //  Little Mermaid //  $10.49 //  $27.99 //  $59.95 // 
9249 //  Little Nemo The Dream Master //  $9.91 //  $37.99 //  $158.00 // 
12309 //  Little Ninja Brothers //  $39.99 //  $114.50 //  $325.00 // 
9250 //  Little Samson //  $1097.59 //  $2872.53 //  $9145.47 // 
11998 //  Lode Runner //  $8.99 //  $39.76 //  $1150.00 // 
38024 //  Lode Runner [5 Screw] //  $8.80 //  $75.52 //  $95.33 // 
9253 //  Lone Ranger //  $29.99 //  $83.94 //  $189.99 // 
12310 //  Loopz //  $8.28 //  $16.46 //  $22.69 // 
12311 //  Low G Man //  $7.75 //  $22.98 //  $60.92 // 
9260 //  Lunar Pool //  $4.26 //  $18.38 //  $131.00 // 
38036 //  Lunar Pool [5 Screw] //  $7.44 //  $24.50 //  $61.75 // 
9307 //  M.C. Kids //  $14.98 //  $49.97 //  $162.96 // 
9387 //  M.U.L.E. //  $17.29 //  $38.82 //  $72.50 // 
12386 //  MTV Remote Control //  $4.95 //  $17.99 //  $58.00 // 
12312 //  MUSCLE //  $12.80 //  $120.26 //  $368.38 // 
11999 //  Mach Rider //  $7.01 //  $40.12 //  $1000.00 // 
37978 //  Mach Rider [5 Screw] //  $5.96 //  $49.87 //  $101.02 // 
12313 //  Mad Max //  $12.28 //  $30.00 //  $143.52 // 
9275 //  Magic Darts //  $7.17 //  $19.37 //  $46.85 // 
12227 //  "Magic Johnsons Fast Break" //  $3.32 //  $19.42 //  $48.59 // 
12314 //  Magician //  $25.49 //  $49.89 //  $181.36 // 
12315 //  Magmax //  $4.57 //  $16.87 //  $61.00 // 
12316 //  Major League Baseball //  $1.98 //  $7.99 //  $35.00 // 
12317 //  Maniac Mansion //  $16.92 //  $45.28 //  $215.51 // 
13766 //  Mappy-Land //  $8.69 //  $34.88 //  $149.99 // 
12319 //  Marble Madness //  $6.80 //  $18.50 //  $92.50 // 
12000 //  Mario Bros //  $20.91 //  $103.96 //  $552.50 // 
37987 //  Mario Bros [5 Screw] //  $19.68 //  $118.01 //  $197.37 // 
9287 //  Mario Is Missing //  $19.10 //  $49.99 //  $216.25 // 
9289 //  "Marios Time Machine" //  $51.88 //  $129.75 //  $312.77 // 
12321 //  Master Chu and the Drunkard Hu //  $36.99 //  $48.77 //  $113.20 // 
14925 //  Maxi 15 //  $58.03 //  $99.50 //  $182.58 // 
12322 //  Mechanized Attack //  $14.99 //  $40.47 //  $83.07 // 
9314 //  Mega Man //  $47.99 //  $249.99 //  $1215.81 // 
37373 //  Mega Man 10 //  $6.50 //  $157.69 //  $170.55 // 
12323 //  Mega Man 2 //  $18.99 //  $79.27 //  $687.95 // 
53798 //  Mega Man 2 [30th Anniversary Edition] //  $17.99 //  $69.00 //  $87.44 // 
9315 //  Mega Man 3 //  $17.99 //  $63.49 //  $439.95 // 
12324 //  Mega Man 4 //  $24.99 //  $100.00 //  $331.72 // 
9316 //  Mega Man 5 //  $78.10 //  $216.99 //  $712.48 // 
9317 //  Mega Man 6 //  $34.39 //  $126.00 //  $587.50 // 
34155 //  Mega Man 9 //  $275.63 //  $283.92 //  $340.02 // 
38045 //  Mega Man [5 Screw] //   //   //   // 
68986 //  Mega Man [First Print] //  $4951.81 //  $12843.75 //  $41100.00 // 
16294 //  Megacom 76 //  $35.00 //   //   // 
12325 //  Menace Beach //  $180.44 //  $400.00 //  $749.99 // 
12326 //  Mendel Palace //  $11.95 //  $30.00 //  $77.07 // 
12327 //  Mermaids of Atlantis //  $40.01 //  $57.86 //  $122.38 // 
12328 //  Metal Fighter //  $17.99 //  $42.12 //  $49.25 // 
12329 //  Metal Gear //  $11.33 //  $49.27 //  $367.50 // 
12330 //  Metal Mech //  $9.89 //  $29.99 //  $98.73 // 
12331 //  Metal Storm //  $104.48 //  $260.00 //  $510.00 // 
67418 //  Metal Storm [Limited Run Black] //  $47.39 //  $47.42 //  $64.95 // 
67419 //  "Metal Storm [Limited Run Collectors Edition]" //  $15.66 //  $74.49 //  $80.00 // 
9331 //  Metroid //  $14.24 //  $79.44 //  $522.70 // 
37991 //  Metroid [5 Screw] //  $18.01 //  $94.97 //  $204.80 // 
38511 //  Metroid [Yellow Label] //  $14.88 //  $75.21 //  $307.12 // 
12332 //  "Michael Andrettis World GP" //  $5.36 //  $19.49 //  $34.26 // 
9337 //  Mickey Mousecapade //  $6.49 //  $17.74 //  $129.17 // 
9338 //  "Mickeys Adventure in Numberland" //  $38.60 //  $147.19 //  $615.01 // 
9339 //  "Mickeys Safari in Letterland" //  $12.00 //  $44.07 //  $68.30 // 
12333 //  Micro Machines //  $23.53 //  $39.99 //  $123.04 // 
39523 //  Micro Machines [Aladdin] //  $17.08 //  $28.65 //  $28.67 // 
64044 //  Micro Mages [Homebrew] //   //   //   // 
12334 //  Mig 29 //  $7.36 //  $18.47 //  $42.93 // 
9349 //  Might and Magic //  $40.00 //  $133.50 //  $200.00 // 
12002 //  Mighty Bomb Jack //  $8.50 //  $28.45 //  $93.99 // 
38011 //  Mighty Bomb Jack [5 Screw] //  $11.05 //  $13.50 //  $43.20 // 
9351 //  Mighty Final Fight //  $181.46 //  $489.95 //  $1573.91 // 
12001 //  "Mike Tysons Punch-Out" //  $24.04 //  $110.00 //  $1050.00 // 
39517 //  "Mike Tysons Punch-Out [5 Screw]" //  $499.99 //  $1815.50 //  $5809.60 // 
12336 //  Millipede //  $5.96 //  $16.62 //  $57.50 // 
12003 //  "Milons Secret Castle" //  $6.42 //  $19.51 //  $174.42 // 
12337 //  Miracle Piano //  $12.47 //  $200.99 //  $331.74 // 
50113 //  Miracle Piano Keyboard //  $47.99 //  $129.56 //  $414.59 // 
19303 //  Mission Cobra //  $42.64 //  $53.14 //  $138.67 // 
9358 //  Mission Impossible //  $4.26 //  $17.74 //  $70.66 // 
9366 //  Monopoly //  $5.12 //  $14.99 //  $38.89 // 
12338 //  Monster Party //  $14.36 //  $46.95 //  $149.99 // 
12339 //  Monster Truck Rally //  $14.73 //  $34.89 //  $98.42 // 
12340 //  Monster in My Pocket //  $37.99 //  $149.95 //  $393.50 // 
21116 //  Moon Ranger //  $128.53 //  $236.14 //  $276.25 // 
9377 //  Motor City Patrol //  $35.00 //  $81.34 //  $249.00 // 
9382 //  Ms. Pac-Man (Namco) //  $25.75 //  $41.82 //  $169.99 // 
30883 //  Ms. Pac-Man [Tengen] //  $12.00 //  $26.62 //  $103.62 // 
12341 //  Muppet Adventure //  $8.63 //  $25.48 //  $102.70 // 
9390 //  Mutant Virus //  $18.00 //  $44.70 //  $80.04 // 
14929 //  Myriad 6-in-1 //  $1212.86 //  $1478.88 //  $3000.00 // 
12342 //  Mystery Quest //  $7.61 //  $22.00 //  $70.40 // 
12343 //  NARC //  $6.63 //  $21.03 //  $120.77 // 
16388 //  NES Advantage Controller //  $12.00 //  $38.00 //  $79.99 // 
16389 //  NES Four Score //  $29.99 //  $42.86 //  $43.69 // 
21587 //  NES Max Controller //  $11.46 //  $29.98 //  $87.53 // 
9449 //  NES Open Tournament Golf //  $6.88 //  $16.99 //  $58.22 // 
19364 //  NES Satellite 4 Controller Port //  $15.32 //  $39.76 //  $127.24 // 
62501 //  NES Test Station //   //   //   // 
9459 //  NFL Football //  $3.64 //  $10.24 //  $30.21 // 
21251 //  NTF2 Test Cartridge //  $397.75 //  $530.00 //   // 
67649 //  "Nebs n Debs" //   //   //   // 
9483 //  "Nigel Mansells World Championship Racing" //  $11.95 //  $69.99 //  $103.30 // 
9487 //  Nightshade //  $20.00 //  $51.30 //  $130.14 // 
12344 //  Ninja Crusaders //  $22.45 //  $79.77 //  $149.99 // 
9488 //  Ninja Gaiden //  $10.99 //  $33.30 //  $300.39 // 
12004 //  Ninja Gaiden II The Dark Sword of Chaos //  $9.67 //  $43.00 //  $177.96 // 
9490 //  Ninja Gaiden III Ancient Ship of Doom //  $52.94 //  $211.07 //  $570.15 // 
12345 //  Ninja Kid //  $8.25 //  $103.03 //  $133.80 // 
37995 //  Ninja Kid [5 Screw] //  $11.18 //  $26.59 //  $85.09 // 
19387 //  Nintendo Campus Challenge 1991 //  $20100.00 //   //   // 
34874 //  Nintendo Campus Challenge 1991 [Reproduction] //  $75.00 //  $83.00 //  $85.00 // 
68028 //  Nintendo Dust Sleeve [Black] //   //   //   // 
68029 //  Nintendo Dust Sleeve [Red] //   //   //   // 
58065 //  Nintendo M82 //  $3000.00 //  $8100.00 //  $25439.50 // 
38568 //  Nintendo NES Action Set Console //  $50.00 //  $127.00 //  $547.00 // 
38570 //  Nintendo NES Challenge Set Console //  $45.59 //  $123.10 //  $329.95 // 
37130 //  Nintendo NES Classic Edition //  $66.50 //  $66.88 //  $95.00 // 
37198 //  Nintendo NES Classic Edition Controller //  $13.12 //  $16.56 //  $20.87 // 
13743 //  Nintendo NES Console //  $32.02 //  $64.50 //  $492.76 // 
13805 //  Nintendo NES Controller //  $9.94 //  $23.57 //  $75.42 // 
39977 //  Nintendo NES Deluxe Set Console //  $169.79 //  $242.50 //  $1409.26 // 
40469 //  Nintendo NES Power Set Console //  $109.99 //  $285.29 //  $912.92 // 
38569 //  Nintendo NES Sports Set Console //  $60.79 //  $164.13 //  $525.18 // 
58047 //  Nintendo NES Test Market Console //  $174.99 //  $478.24 //  $1540.74 // 
14933 //  Nintendo World Championship //  $19000.00 //   //   // 
16173 //  Nintendo World Championship Gold //  $18914.52 //   //   // 
38640 //  Nintendo World Championship [25th Anniversary] //  $281.21 //  $368.59 //  $1179.49 // 
34873 //  Nintendo World Championship [Reproduction] //  $71.50 //  $71.57 //  $84.54 // 
9492 //  Nintendo World Cup //  $5.37 //  $19.99 //  $56.07 // 
9495 //  "Nobunagas Ambition" //  $10.86 //  $25.52 //  $65.87 // 
13108 //  "Nobunagas Ambition 2" //  $97.48 //  $161.50 //  $510.20 // 
12346 //  North and South //  $38.00 //  $85.30 //  $222.42 // 
12347 //  ORB 3D //  $6.25 //  $15.84 //  $51.88 // 
14281 //  Operation Secret Storm //  $75.86 //  $106.73 //  $341.23 // 
12348 //  Operation Wolf //  $3.24 //  $15.76 //  $72.17 // 
12349 //  Othello //  $4.99 //  $9.99 //  $43.52 // 
9516 //  Overlord //  $13.40 //  $28.69 //  $99.49 // 
19390 //  "Pradikus Conflict" //  $62.15 //  $96.80 //  $108.87 // 
12350 //  POW Prisoners of War //  $7.99 //  $27.99 //  $140.49 // 
9518 //  Pac-Man [Namco] //  $16.01 //  $26.73 //  $85.43 // 
40508 //  Pac-Man [Tengen Gray] //  $10.06 //  $12.78 //  $73.95 // 
30882 //  Pac-Man [Tengen] //  $9.84 //  $20.11 //  $97.89 // 
12351 //  Pac-Mania //  $15.34 //  $33.89 //  $254.10 // 
16126 //  Palamedes //  $14.10 //  $29.95 //  $67.75 // 
9523 //  Panic Restaurant //  $520.00 //  $987.98 //  $3186.69 // 
9528 //  Paperboy //  $12.00 //  $26.96 //  $300.01 // 
9530 //  Paperboy 2 //  $13.79 //  $34.51 //  $180.07 // 
14932 //  Peek-a-Boo Poker //  $991.02 //  $1417.91 //   // 
19452 //  Pesterminator //  $44.95 //  $99.06 //  $499.88 // 
12352 //  Peter Pan and the Pirates //  $9.56 //  $27.37 //  $65.00 // 
12353 //  Phantom Fighter //  $9.19 //  $34.27 //  $63.76 // 
12354 //  Pictionary //  $5.02 //  $13.53 //  $35.70 // 
12355 //  Pin-Bot //  $4.72 //  $19.39 //  $76.12 // 
12005 //  Pinball //  $5.67 //  $21.50 //  $146.54 // 
12356 //  Pinball Quest //  $8.24 //  $20.34 //  $62.28 // 
37979 //  Pinball [5 Screw] //  $7.00 //  $35.29 //  $72.21 // 
12357 //  Pipe Dream //  $6.43 //  $15.93 //  $33.39 // 
9558 //  Pirates //  $19.97 //  $61.01 //  $100.33 // 
12358 //  Platoon //  $4.46 //  $14.98 //  $116.63 // 
9566 //  Play Action Football //  $2.10 //  $9.34 //  $34.99 // 
12359 //  Popeye //  $14.95 //  $75.70 //  $123.59 // 
37988 //  Popeye [5 Screw] //  $13.55 //  $75.61 //  $83.00 // 
9574 //  Power Blade //  $49.97 //  $107.50 //  $161.14 // 
9575 //  Power Blade 2 //  $374.11 //  $871.79 //  $2787.75 // 
13715 //  Power Glove //  $63.47 //  $86.33 //  $306.55 // 
13761 //  Power Pad //  $16.37 //  $49.99 //  $341.54 // 
9577 //  Power Punch II //  $19.52 //  $49.62 //  $158.57 // 
12360 //  Predator //  $11.85 //  $42.11 //  $185.93 // 
9584 //  Prince of Persia //  $19.85 //  $47.43 //  $139.80 // 
12361 //  Princess Tomato in the Salad Kingdom //  $108.08 //  $199.99 //  $699.95 // 
9592 //  Pro Sports Hockey //  $111.14 //  $261.19 //  $800.37 // 
12362 //  Pro Wrestling //  $6.35 //  $47.29 //  $592.08 // 
38001 //  Pro Wrestling [5 Screw] //  $6.98 //  $46.63 //  $92.74 // 
12006 //  Punch-Out //  $11.85 //  $33.49 //  $250.00 // 
12364 //  "Puss N Boots: Peros Great Adventure" //  $11.15 //  $20.13 //  $106.44 // 
12365 //  Puzzle //  $11.40 //  $31.44 //  $85.94 // 
12366 //  Puzznic //  $11.21 //  $34.99 //  $75.99 // 
12367 //  Pyramid //  $8.84 //  $21.80 //  $53.36 // 
12368 //  Q*bert //  $8.91 //  $23.92 //  $124.68 // 
12369 //  Qix //  $38.25 //  $58.34 //  $172.05 // 
12371 //  Quattro Adventure //  $6.19 //  $19.99 //  $35.04 // 
39524 //  Quattro Adventure [Aladdin] //  $2.12 //  $5.32 //  $17.31 // 
19308 //  Quattro Arcade //  $15.85 //  $17.84 //  $49.26 // 
12372 //  Quattro Sports //  $4.75 //  $12.77 //  $35.99 // 
39525 //  Quattro Sports [Aladdin] //  $3.55 //  $9.60 //  $10.51 // 
21024 //  Quickshot Joystick //  $8.11 //  $21.04 //  $67.33 // 
16260 //  Quickshot Sighting Scope //  $55.42 //  $87.71 //  $280.67 // 
9635 //  RBI Baseball //  $7.14 //  $12.49 //  $53.05 // 
12373 //  RBI Baseball 2 //  $6.76 //  $16.15 //  $41.02 // 
12374 //  RBI Baseball 3 //  $8.22 //  $18.22 //  $27.97 // 
39512 //  RBI Baseball [Gray Cart] //  $8.99 //  $42.39 //  $91.22 // 
12375 //  RC Pro-AM //  $5.11 //  $20.23 //  $265.33 // 
9639 //  RC Pro-AM II //  $64.47 //  $242.80 //  $458.95 // 
34135 //  ROB the Robot //  $73.51 //  $108.68 //  $379.23 // 
9615 //  Race America //  $42.20 //  $63.28 //  $133.88 // 
30824 //  Racermate Challenge II //  $168.75 //   //   // 
12376 //  Racket Attack //  $3.88 //  $11.00 //  $37.63 // 
12378 //  Rad Racer //  $6.00 //  $28.24 //  $455.00 // 
12379 //  Rad Racer II //  $6.47 //  $19.99 //  $62.90 // 
38037 //  Rad Racer [5 Screw] //  $5.55 //  $65.39 //  $68.39 // 
30982 //  Rad Racket: Deluxe Tennis II //  $46.26 //  $84.09 //  $269.62 // 
12380 //  Raid 2020 //  $25.41 //  $49.99 //  $57.19 // 
12381 //  Raid on Bungeling Bay //  $8.57 //  $24.87 //  $166.35 // 
38025 //  Raid on Bungeling Bay [5 Screw] //  $11.76 //  $24.64 //  $78.85 // 
12382 //  Rainbow Islands //  $26.50 //  $62.56 //  $190.45 // 
12383 //  Rally Bike //  $8.96 //  $30.05 //  $55.19 // 
12384 //  Rambo //  $7.58 //  $29.20 //  $61.64 // 
12385 //  Rampage //  $13.02 //  $35.07 //  $139.11 // 
9624 //  Rampart //  $10.06 //  $18.49 //  $94.62 // 
12387 //  Renegade //  $7.07 //  $32.80 //  $359.59 // 
12388 //  Rescue the Embassy Mission //  $6.09 //  $20.69 //  $50.57 // 
12389 //  Ring King //  $8.18 //  $31.47 //  $104.72 // 
38026 //  Ring King [5 Screw] //  $5.00 //  $41.00 //  $82.91 // 
12390 //  River City Ransom //  $29.92 //  $83.87 //  $187.87 // 
12391 //  Road Runner //  $9.31 //  $23.50 //  $250.13 // 
12392 //  RoadBlasters //  $5.91 //  $17.49 //  $99.00 // 
9669 //  Robin Hood Prince of Thieves //  $8.63 //  $24.92 //  $71.85 // 
12393 //  Robo Warrior //  $6.94 //  $15.76 //  $56.01 // 
9671 //  RoboCop 2 //  $13.22 //  $42.49 //  $120.00 // 
12394 //  Robocop //  $8.15 //  $22.78 //  $72.73 // 
9673 //  Robocop 3 //  $23.26 //  $45.85 //  $186.92 // 
16141 //  Robodemons //  $43.72 //  $52.15 //  $72.52 // 
12395 //  "Rock n Ball" //  $6.69 //  $19.21 //  $61.47 // 
12396 //  Rocket Ranger //  $4.90 //  $14.84 //  $59.45 // 
9678 //  "Rockin Kats" //  $83.54 //  $232.50 //  $539.87 // 
9681 //  "Roger Clemens MVP Baseball" //  $4.81 //  $12.99 //  $62.41 // 
12397 //  Roller Games //  $7.84 //  $22.26 //  $45.00 // 
12398 //  Rollerball //  $4.85 //  $20.14 //  $51.83 // 
9682 //  Rollerblade Racer //  $15.50 //  $60.00 //  $129.89 // 
12399 //  Rolling Thunder //  $7.98 //  $20.99 //  $72.81 // 
12400 //  Romance of the Three Kingdoms //  $12.46 //  $22.69 //  $94.69 // 
12401 //  Romance of the Three Kingdoms II //  $59.74 //  $112.71 //  $325.00 // 
9687 //  Roundball 2-on-2 Challenge //  $8.99 //  $19.76 //  $49.32 // 
12402 //  "Rushn Attack" //  $6.98 //  $23.16 //  $73.04 // 
38004 //  "Rushn Attack [5 Screw]" //  $8.25 //  $57.04 //  $79.91 // 
12403 //  Rygar //  $10.10 //  $45.97 //  $442.00 // 
38012 //  Rygar [5 Screw] //  $12.38 //  $45.16 //  $114.98 // 
9697 //  SCAT Special Cybernetic Attack Team //  $119.98 //  $235.58 //  $775.00 // 
12404 //  Secret Scout //  $161.33 //  $218.23 //  $1222.26 // 
67361 //  Secret Scout [Blue] //  $172.00 //  $446.13 //  $1427.61 // 
12405 //  Section Z //  $6.84 //  $34.95 //  $246.35 // 
38013 //  Section-Z [5 Screw] //  $7.00 //  $26.42 //  $64.19 // 
12406 //  Seicross //  $6.10 //  $20.00 //  $87.88 // 
13827 //  Sesame Street 123 //  $3.34 //  $12.45 //  $53.59 // 
12408 //  Sesame Street ABC //  $4.57 //  $16.91 //  $64.62 // 
9720 //  Sesame Street ABC and 123 //  $9.27 //  $32.99 //  $86.82 // 
12409 //  "Sesame Street Big Birds Hide and Speak" //  $5.40 //  $20.00 //  $50.03 // 
9721 //  Sesame Street Countdown //  $12.75 //  $34.99 //  $81.00 // 
12410 //  Shadow of the Ninja //  $44.78 //  $128.12 //  $370.32 // 
12411 //  Shadowgate //  $8.50 //  $22.00 //  $120.17 // 
40395 //  Sharp Nintendo NES TV //  $950.00 //  $2564.02 //  $7888.16 // 
9729 //  Shatterhand //  $60.49 //  $110.00 //  $352.00 // 
12412 //  Shingen the Ruler //  $9.22 //  $25.00 //  $77.00 // 
12413 //  Shinobi //  $10.11 //  $29.85 //  $136.97 // 
12414 //  Shockwave //  $17.99 //  $32.13 //  $53.11 // 
12415 //  Shooting Range //  $7.71 //  $15.99 //  $35.13 // 
12416 //  Short Order/Eggsplode //  $6.47 //  $22.00 //  $68.99 // 
12417 //  Side Pocket //  $5.71 //  $18.12 //  $70.00 // 
12418 //  Silent Assault //  $15.50 //  $38.25 //  $62.99 // 
12419 //  Silent Service //  $4.49 //  $13.32 //  $43.42 // 
12420 //  Silk Worm //  $17.05 //  $49.35 //  $141.28 // 
12421 //  Silver Surfer //  $21.95 //  $63.74 //  $178.17 // 
12422 //  Skate or Die //  $5.83 //  $24.56 //  $163.66 // 
12423 //  Skate or Die 2 //  $7.98 //  $26.89 //  $94.66 // 
12424 //  Ski or Die //  $6.00 //  $27.44 //  $49.47 // 
12425 //  Skull and Crossbones //  $9.36 //  $19.99 //  $35.00 // 
12426 //  Sky Kid //  $10.79 //  $48.10 //  $285.00 // 
38027 //  Sky Kid [5 Screw] //  $10.61 //  $24.99 //  $84.25 // 
12427 //  Sky Shark //  $5.34 //  $15.99 //  $38.77 // 
12428 //  Slalom //  $6.70 //  $48.99 //  $156.57 // 
38019 //  Slalom [5 Screw] //  $7.19 //  $53.40 //  $99.41 // 
9764 //  Smash TV //  $10.90 //  $39.29 //  $102.51 // 
12429 //  Snake Rattle n Roll //  $7.97 //  $22.50 //  $110.85 // 
9765 //  "Snakes Revenge" //  $11.47 //  $45.97 //  $183.67 // 
12430 //  "Snoopys Silly Sports" //  $7.79 //  $21.73 //  $249.99 // 
9768 //  Snow Brothers //  $179.91 //  $699.99 //  $2999.99 // 
12007 //  Soccer //  $7.09 //  $40.06 //  $128.38 // 
38002 //  Soccer [5 Screw] //  $9.93 //  $103.29 //  $144.99 // 
12431 //  Solar Jetman //  $5.66 //  $21.05 //  $52.09 // 
12432 //  Solitaire //  $31.71 //  $40.50 //  $129.61 // 
12008 //  "Solomons Key" //  $11.77 //  $28.49 //  $439.38 // 
38014 //  "Solomons Key [5 Screw]" //  $13.70 //  $39.95 //  $122.51 // 
9776 //  Solstice //  $6.35 //  $16.89 //  $51.20 // 
9803 //  Space Shuttle //  $14.34 //  $32.14 //  $103.29 // 
12434 //  Spelunker //  $9.43 //  $42.53 //  $82.25 // 
38028 //  Spelunker [5 Screw] //  $13.22 //  $31.36 //  $219.95 // 
10594 //  Spiderman Return of the Sinister Six //  $14.50 //  $36.51 //  $348.01 // 
12436 //  Spiritual Warfare //  $14.10 //  $35.63 //  $72.14 // 
9830 //  Spot //  $10.18 //  $20.99 //  $132.53 // 
12437 //  Spy Hunter //  $6.36 //  $25.72 //  $110.67 // 
38029 //  Spy Hunter [5 Screw] //  $6.94 //  $29.41 //  $80.03 // 
9832 //  Spy vs. Spy //  $8.14 //  $24.35 //  $99.89 // 
12438 //  Sqoon //  $85.00 //  $321.21 //  $785.01 // 
16127 //  Stack Up //  $88.48 //  $487.50 //  $1300.00 // 
9839 //  Stanley The Search for Dr Livingston //  $25.86 //  $65.18 //  $125.00 // 
12439 //  Star Force //  $6.99 //  $35.00 //  $99.04 // 
38042 //  Star Force [5 Screw] //  $154.07 //  $399.62 //  $1278.78 // 
12009 //  Star Soldier //  $6.04 //  $16.74 //  $49.11 // 
